ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.07500000000000001,-0.3,False,-0.4619848970337162,1.3605533217011026e-09,0.008609303291072474,0.6943982504195009,0.513736716988809,0.0001293560120468329,0.16929467741646026,0.2867118574940052,0.11226657913676028,1.5700634664319195
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.07500000000000001,-0.3,False,-0.4885077392940892,5.698056036296475e-10,0.0017155204163952975,0.7842564315759238,0.5230060699588718,2.5028068306121032e-05,0.20905213656177696,0.21256322255198304,0.3445869967341736,4.712215704163408
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.07500000000000001,-0.3,False,-0.45879960584248497,4.396333329089929e-09,0.03173616821448559,0.6789781204829988,0.5073871288528615,0.07447523846874166,0.16466742633189552,0.15615155989933996,0.0005634054007020994,1.9896541882106271,3.6718818486947042
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.07500000000000001,-0.3,False,-0.5079363667833373,0.005913141489058934,0.12830084636715958,0.7856748908774035,0.5025588897411758,0.16265642042165607,4.596803160339391e-09,1.4896721461793438e-05,1.7311781702611384e-08,1.5709387961489036,3.1403486890518133
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.07500000000000001,-0.3,False,-0.4569765486480492,1.5650944538374666e-09,0.03364031120289738,0.6818830600267015,0.4990113189217325,6.559445445336598e-05,0.14328987332743112,7.02870997912608e-05,2.248110879840559e-05,3.141484607912882,1.5706806506893074
