ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.15,0.14999999999999997,True,-0.5219801863564569,6.382436226458934e-10,0.00411135140453644,0.8513334648113468,0.5212418499740308,0.36809010666919595,0.20542115507168654,0.39398979826572944,0.16113179614837397,2.579457941477865e-05
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.15,0.14999999999999997,True,-0.46292013256753856,1.7509357365615614e-09,0.004075540986522666,0.6897544685531058,0.5042752891875036,0.13478445473811,0.15097668790608565,0.17484162209985202,0.15944930983722405,3.1408264330787583
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.15,0.14999999999999997,True,-0.5173562905202856,2.149028735449902e-09,0.0023599468503109895,0.8390741965480858,0.5184384324876755,0.10904777149120787,0.400954757393899,0.19683402596399174,0.3500642294504845,1.9429389434735318,5.2946917378587175
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.15,0.14999999999999997,False,-0.5054894744801216,0.012177970158487178,0.13920558386145712,0.7780886213525597,0.5027355089464103,2.8437033808392798e-05,1.7329824869571908e-07,7.17561034474512e-06,7.080220215671673e-09,1.5708046721181343,1.5707300625074592
