ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,0.0,0.22500000000000003,True,-0.4878089111128704,9.248157600767946e-10,0.007015462391243751,0.7614434961857941,0.5172694595808589,0.33553642825961116,0.18612110338046411,0.0,0.12248142361702433,0.0006925295659436585
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,0.0,0.22500000000000003,False,-0.45999233022488833,0.0046298587156361004,0.14027238213479834,0.6817003766811556,0.4994739910283892,0.0,8.939843000162054e-09,0.13865374262553484,0.0,3.141899571475635,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,0.0,0.22500000000000003,False,-0.5060607288380715,2.8203684983859583e-10,0.016798508163963943,0.7914939673248089,0.5030191937645526,0.0,6.485139990658473e-06,0.0,2.2433457304293913e-06,1.5708403112025182,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,0.0,0.22500000000000003,True,-0.45810945695177846,1.7609350221666781e-10,0.004277179978158851,0.6807981325710846,0.507990982165432,0.0,0.16006812953140645,0.0,0.173379221266631,0.0
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,0.0,0.22500000000000003,True,-0.49739479472785963,3.5603479725122887e-10,0.005061092739852346,0.7924629335836172,0.5187635065847699,0.0,0.3924787967385844,0.19429970102072516,0.0,1.9377890278551972,0.0
