ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A3,B1,B2,B3,phiA3
3x3_1,-0.07500000000000001,-0.07500000000000001,True,-0.48306856169538326,8.144507901530788e-10,0.005247425951728603,0.7503949288005961,0.5203506650752923,0.2737754619972311,0.1886126637626838,0.33544456966186026,0.13823279756712453,6.281027577993344
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiA2
q0_1,-0.07500000000000001,-0.07500000000000001,True,-0.47108830394269896,9.15303171799333e-10,0.002481882901611214,0.7204879194975273,0.5148712384525032,0.20845333692694917,0.17686097261633302,0.19210308085616934,0.24311110422686222,3.1421858823292657
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiA1,phiB2
cb1,-0.07500000000000001,-0.07500000000000001,True,-0.476927416934786,1.5188565759019154e-09,0.004768765108352807,0.7295170327189462,0.5164563010359099,0.08532149144691209,0.27341546342784395,0.17610452316783673,0.28521954518716436,1.9624181340395412,5.264677803738238
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,A3,B1,B2,phiB1,phiA2
cb2,-0.07500000000000001,-0.07500000000000001,False,-0.459992049578106,0.00403183227451125,0.140159635740941,0.6813866770564488,0.4993712042290294,0.00013218062311309842,3.4537698256897897e-09,0.1389108904649964,3.15969583830622e-09,3.1419112272701315,4.711457304040901
ans,J2,J3,Converge,Energy,Sigma,gap,L,A1,A2,B1,B2,B3,phiB1,phiB2
oct,-0.07500000000000001,-0.07500000000000001,False,-0.46183993169357573,1.028222155104368e-09,0.02605018058703803,0.694331868171565,0.49988088560961796,1.9574330618808368e-05,0.146497105944252,0.18259612110194773,0.0001633029989014966,3.1416895879845814,6.281806835715336
